"","hsi_price...1.","hsi_emd_res"
"1",2006-01-09,15595.8293974607
"2",2006-01-10,15585.327383764
"3",2006-01-11,15574.5181947704
"4",2006-01-12,15563.4509182716
"5",2006-01-13,15552.1934000042
"6",2006-01-16,15518.4352351347
"7",2006-01-17,15507.6313928723
"8",2006-01-18,15497.276193788
"9",2006-01-19,15487.5041599804
"10",2006-01-20,15478.449813548
"11",2006-01-23,15456.9381194883
"12",2006-01-24,15452.0997435428
"13",2006-01-25,15448.6516654656
"14",2006-01-26,15446.7284073551
"15",2006-01-27,15446.46449131
"16",2006-02-01,15469.3861806862
"17",2006-02-02,15478.0032869476
"18",2006-02-03,15487.6785351336
"19",2006-02-06,15521.826927506
"20",2006-02-07,15534.5085396576
"21",2006-02-08,15547.6351918673
"22",2006-02-09,15561.0842637621
"23",2006-02-10,15574.7331349687
"24",2006-02-13,15615.4615101682
"25",2006-02-14,15628.4325194782
"26",2006-02-15,15640.8845178618
"27",2006-02-16,15652.7163969461
"28",2006-02-17,15663.8270483583
"29",2006-02-20,15691.8205528331
"30",2006-02-21,15699.0352098279
"31",2006-02-22,15705.0230972862
"32",2006-02-23,15709.6831068351
"33",2006-02-24,15712.9141301017
"34",2006-02-27,15713.022198479
"35",2006-02-28,15709.5261928877
"36",2006-03-01,15704.1626162874
"37",2006-03-02,15697.1866325077
"38",2006-03-03,15689.0063085737
"39",2006-03-06,15661.5348312416
"40",2006-03-07,15652.832682086
"41",2006-03-08,15645.073960474
"42",2006-03-09,15638.688219945
"43",2006-03-10,15634.1050140387
"44",2006-03-13,15633.4061988287
"45",2006-03-14,15637.5057852149
"46",2006-03-15,15643.7246155906
"47",2006-03-16,15652.0344789127
"48",2006-03-17,15662.407164138
"49",2006-03-20,15705.620040801
"50",2006-03-21,15723.9321322471
"51",2006-03-22,15743.98736462
"52",2006-03-23,15765.5789011158
"53",2006-03-24,15788.4999049307
"54",2006-03-27,15863.171352253
"55",2006-03-28,15889.3483904785
"56",2006-03-29,15915.9254528552
"57",2006-03-30,15943.0626107132
"58",2006-03-31,15970.9854772036
"59",2006-04-03,16061.7244599797
"60",2006-04-04,16095.0462925103
"61",2006-04-06,16167.6568938856
"62",2006-04-07,16207.3968890325
"63",2006-04-10,16340.3615378194
"64",2006-04-11,16388.1052458941
"65",2006-04-12,16436.8782892523
"66",2006-04-13,16486.2435314192
"67",2006-04-18,16726.6529477597
"68",2006-04-19,16770.3915168044
"69",2006-04-20,16811.6861785765
"70",2006-04-21,16850.2190428185
"71",2006-04-24,16946.9863189401
"72",2006-04-25,16972.4583818603
"73",2006-04-26,16994.2734585561
"74",2006-04-27,17012.2592719115
"75",2006-04-28,17026.2435448102
"76",2006-05-02,17038.7196895156
"77",2006-05-03,17030.1121033888
"78",2006-05-04,17016.4693141083
"79",2006-05-08,16908.1005831272
"80",2006-05-09,16866.7646937251
"81",2006-05-10,16819.7675278238
"82",2006-05-11,16767.4178303515
"83",2006-05-12,16710.2911230996
"84",2006-05-15,16518.7486271418
"85",2006-05-16,16451.1143079917
"86",2006-05-17,16383.0535640444
"87",2006-05-18,16315.4465865708
"88",2006-05-19,16249.1735668419
"89",2006-05-22,16067.1601668329
"90",2006-05-23,16015.0248907923
"91",2006-05-24,15968.4132337023
"92",2006-05-25,15927.128439079
"93",2006-05-26,15890.6805672433
"94",2006-05-29,15805.5705225267
"95",2006-05-30,15783.7994688596
"96",2006-06-01,15747.5148678698
"97",2006-06-02,15732.0747014224
"98",2006-06-05,15691.2992388005
"99",2006-06-06,15679.0002096152
"100",2006-06-07,15667.1181619172
"101",2006-06-08,15655.5154470924
"102",2006-06-09,15644.0544165266
"103",2006-06-12,15609.1449442412
"104",2006-06-13,15597.1085169039
"105",2006-06-14,15585.9708362292
"106",2006-06-15,15577.1963249459
"107",2006-06-16,15572.28859725
"108",2006-06-19,15593.6287959111
"109",2006-06-20,15615.9032668808
"110",2006-06-21,15645.5748459448
"111",2006-06-22,15681.6083753161
"112",2006-06-23,15722.9686972074
"113",2006-06-26,15869.7137089129
"114",2006-06-27,15923.4438233123
"115",2006-06-28,15978.0694338004
"116",2006-06-29,16032.5766096897
"117",2006-06-30,16085.9464154053
"118",2006-07-03,16229.0422557619
"119",2006-07-04,16267.6732250346
"120",2006-07-05,16300.0721462594
"121",2006-07-06,16325.2200838616
"122",2006-07-07,16342.2489130248
"123",2006-07-10,16349.8317027994
"124",2006-07-11,16342.5842754947
"125",2006-07-12,16332.9468207223
"126",2006-07-13,16322.4178291705
"127",2006-07-14,16312.4957915274
"128",2006-07-17,16301.3563089334
"129",2006-07-18,16308.6754946378
"130",2006-07-19,16322.9197963043
"131",2006-07-20,16343.8322277641
"132",2006-07-21,16371.0105064813
"133",2006-07-24,16486.1176008181
"134",2006-07-25,16534.3364432057
"135",2006-07-26,16586.8097201712
"136",2006-07-27,16643.1351491785
"137",2006-07-28,16702.8448122186
"138",2006-07-31,16893.2597369894
"139",2006-08-01,16956.7670771003
"140",2006-08-02,17018.1491292735
"141",2006-08-03,17075.9833359876
"142",2006-08-04,17128.8471397211
"143",2006-08-07,17245.6418941254
"144",2006-08-08,17267.7835316516
"145",2006-08-09,17281.6423046217
"146",2006-08-10,17288.0950906784
"147",2006-08-11,17288.0187674643
"148",2006-08-14,17257.3839186239
"149",2006-08-15,17239.9599347532
"150",2006-08-16,17220.4325547865
"151",2006-08-17,17199.8988121589
"152",2006-08-18,17179.4586978245
"153",2006-08-21,17125.7657232423
"154",2006-08-22,17112.5807379822
"155",2006-08-23,17102.8371975859
"156",2006-08-24,17097.1861670915
"157",2006-08-25,17096.1667513919
"158",2006-08-28,17118.5305177746
"159",2006-08-29,17132.3968998148
"160",2006-08-30,17148.3856195608
"161",2006-08-31,17165.8465416624
"162",2006-09-01,17184.1295307694
"163",2006-09-04,17237.4095466202
"164",2006-09-05,17252.6235642334
"165",2006-09-06,17266.2736560238
"166",2006-09-07,17278.5743705641
"167",2006-09-08,17289.7402564272
"168",2006-09-11,17318.5744276811
"169",2006-09-12,17327.3464845632
"170",2006-09-13,17336.056455632
"171",2006-09-14,17344.9180579444
"172",2006-09-15,17354.1416824932
"173",2006-09-18,17385.4402449641
"174",2006-09-19,17397.330462249
"175",2006-09-20,17410.0615752769
"176",2006-09-21,17423.7009125553
"177",2006-09-22,17438.3158025917
"178",2006-09-25,17488.6870743229
"179",2006-09-26,17507.8774604655
"180",2006-09-27,17528.3800419033
"181",2006-09-28,17550.2523861795
"182",2006-09-29,17573.4662973833
"183",2006-10-03,17673.6315019325
"184",2006-10-04,17698.624855561
"185",2006-10-05,17722.8417564069
"186",2006-10-06,17745.9035675809
"187",2006-10-09,17807.9324054598
"188",2006-10-10,17827.466434143
"189",2006-10-11,17847.1169098473
"190",2006-10-12,17867.2963759686
"191",2006-10-13,17888.4173759023
"192",2006-10-16,17960.0935288915
"193",2006-10-17,17987.0923462095
"194",2006-10-18,18015.7304501038
"195",2006-10-19,18046.0297421847
"196",2006-10-20,18078.0121240623
"197",2006-10-23,18184.521405004
"198",2006-10-24,18223.7804604734
"199",2006-10-25,18264.9903138164
"200",2006-10-26,18308.1556280824
"201",2006-10-27,18353.2196344772
"202",2006-10-31,18547.1003246019
"203",2006-11-01,18597.0154979226
"204",2006-11-02,18646.7060247664
"205",2006-11-03,18695.7705817372
"206",2006-11-06,18835.1951994487
"207",2006-11-07,18877.7426429647
"208",2006-11-08,18917.6574996262
"209",2006-11-09,18954.5384460371
"210",2006-11-10,18987.984158801
"211",2006-11-13,19063.6966612483
"212",2006-11-14,19079.4692804079
"213",2006-11-15,19090.3013833546
"214",2006-11-16,19096.3842932989
"215",2006-11-17,19098.0545395436
"216",2006-11-20,19080.4143713879
"217",2006-11-21,19068.2654949559
"218",2006-11-22,19053.622949292
"219",2006-11-23,19036.8711789713
"220",2006-11-24,19018.3946285686
"221",2006-11-27,18956.4607426181
"222",2006-11-28,18934.929517637
"223",2006-11-29,18913.5957354486
"224",2006-11-30,18892.8438406279
"225",2006-12-01,18873.0582777499
"226",2006-12-04,18823.4607449867
"227",2006-12-05,18811.5530614507
"228",2006-12-06,18802.6927852698
"229",2006-12-07,18797.3772996562
"230",2006-12-08,18796.1392861326
"231",2006-12-11,18822.5351214595
"232",2006-12-12,18843.3203936326
"233",2006-12-13,18870.8468159535
"234",2006-12-14,18904.9780911403
"235",2006-12-15,18945.4032025521
"236",2006-12-18,19098.5275362961
"237",2006-12-19,19157.9593422991
"238",2006-12-20,19220.4079313698
"239",2006-12-21,19285.1173109436
"240",2006-12-22,19351.3270294848
"241",2006-12-27,19678.2649029499
"242",2006-12-28,19737.5071730445
"243",2006-12-29,19792.9266213563
"244",2007-01-02,19967.8081074502
"245",2007-01-03,19999.1425219834
"246",2007-01-04,20025.8358304606
"247",2007-01-05,20048.3587661095
"248",2007-01-08,20095.5554504736
"249",2007-01-09,20106.0470091964
"250",2007-01-10,20114.6932522845
"251",2007-01-11,20121.9591911764
"252",2007-01-12,20128.2827915411
"253",2007-01-15,20144.9767950957
"254",2007-01-16,20150.9236615102
"255",2007-01-17,20157.635666648
"256",2007-01-18,20165.4572341742
"257",2007-01-19,20174.7327877538
"258",2007-01-22,20214.7276014647
"259",2007-01-23,20233.2633359093
"260",2007-01-24,20254.9751747328
"261",2007-01-25,20280.2075416005
"262",2007-01-26,20309.1436255426
"263",2007-01-29,20411.960725974
"264",2007-01-30,20448.8316229238
"265",2007-01-31,20485.6557847642
"266",2007-02-01,20521.6474747299
"267",2007-02-02,20556.0209560557
"268",2007-02-05,20641.5747805415
"269",2007-02-06,20661.6180596555
"270",2007-02-07,20676.172433866
"271",2007-02-08,20684.8261367983
"272",2007-02-09,20687.5646724696
"273",2007-02-12,20661.1233524411
"274",2007-02-13,20641.0416006174
"275",2007-02-14,20615.4680248199
"276",2007-02-15,20584.4879242087
"277",2007-02-16,20548.1865979438
"278",2007-02-21,20289.4416308702
"279",2007-02-22,20222.8348992408
"280",2007-02-23,20152.1529192347
"281",2007-02-26,19924.4440311086
"282",2007-02-27,19846.2711318968
"283",2007-02-28,19768.4387875332
"284",2007-03-01,19691.8323118776
"285",2007-03-02,19617.3370187899
"286",2007-03-05,19415.3713735326
"287",2007-03-06,19358.173949315
"288",2007-03-07,19307.5142769646
"289",2007-03-08,19264.2282257281
"290",2007-03-09,19228.8770537163
"291",2007-03-12,19170.1019840738
"292",2007-03-13,19165.2397880257
"293",2007-03-14,19167.1890424143
"294",2007-03-15,19175.6177693519
"295",2007-03-16,19190.1939909505
"296",2007-03-19,19267.487844835
"297",2007-03-20,19303.3342662
"298",2007-03-21,19343.6682927871
"299",2007-03-22,19388.1579467085
"300",2007-03-23,19436.4723608244
"301",2007-03-26,19600.2524639553
"302",2007-03-27,19659.4409207383
"303",2007-03-28,19720.0411140962
"304",2007-03-29,19781.3979203976
"305",2007-03-30,19842.8281162717
"306",2007-04-02,20021.4984467941
"307",2007-04-03,20077.4473987097
"308",2007-04-04,20130.7395248308
"309",2007-04-10,20381.1678995397
"310",2007-04-11,20410.4273272678
"311",2007-04-12,20435.8772766887
"312",2007-04-13,20457.4261900147
"313",2007-04-16,20500.3485467029
"314",2007-04-17,20508.9091506796
"315",2007-04-18,20515.256754157
"316",2007-04-19,20519.7341320612
"317",2007-04-20,20522.6890882221
"318",2007-04-23,20525.8974645464
"319",2007-04-24,20526.2407720352
"320",2007-04-25,20526.7993953008
"321",2007-04-26,20527.9079850754
"322",2007-04-27,20529.8874016166
"323",2007-04-30,20544.8284863566
"324",2007-05-02,20566.1562722762
"325",2007-05-03,20581.3896941126
"326",2007-05-04,20600.2131485633
"327",2007-05-07,20677.4688949949
"328",2007-05-08,20707.6540741338
"329",2007-05-09,20738.5858414104
"330",2007-05-10,20769.3235742349
"331",2007-05-11,20798.9701673341
"332",2007-05-14,20873.4324515462
"333",2007-05-15,20890.5470244122
"334",2007-05-16,20902.352132626
"335",2007-05-17,20907.9739539577
"336",2007-05-18,20906.5386661776
"337",2007-05-21,20859.5924057249
"338",2007-05-22,20832.7570427071
"339",2007-05-23,20801.9981081902
"340",2007-05-25,20732.716884502
"341",2007-05-28,20625.2256026045
"342",2007-05-29,20593.1174232951
"343",2007-05-30,20565.0699893984
"344",2007-05-31,20542.5156841549
"345",2007-06-01,20526.8255061216
"346",2007-06-04,20531.9487947807
"347",2007-06-05,20554.2755284205
"348",2007-06-06,20586.892825862
"349",2007-06-07,20628.9094384546
"350",2007-06-08,20679.4341175477
"351",2007-06-11,20870.8822584415
"352",2007-06-12,20943.4619732842
"353",2007-06-13,21018.3520598016
"354",2007-06-14,21094.6693401004
"355",2007-06-15,21171.5910487232
"356",2007-06-18,21397.7550899583
"357",2007-06-20,21536.469225678
"358",2007-06-21,21599.7394296339
"359",2007-06-22,21658.0001960545
"360",2007-06-25,21807.4607248753
"361",2007-06-26,21852.5999915839
"362",2007-06-27,21897.369840257
"363",2007-06-28,21942.9510798015
"364",2007-06-29,21990.5623497143
"365",2007-07-03,22211.3529802714
"366",2007-07-04,22273.1490962553
"367",2007-07-05,22337.1204825898
"368",2007-07-06,22403.0608585438
"369",2007-07-09,22610.6331168138
"370",2007-07-10,22682.194283433
"371",2007-07-11,22753.5388729961
"372",2007-07-12,22823.2846244196
"373",2007-07-13,22889.9620072927
"374",2007-07-16,23063.1288815596
"375",2007-07-17,23111.2972292791
"376",2007-07-18,23153.646263152
"377",2007-07-19,23189.0848192679
"378",2007-07-20,23216.5217337166
"379",2007-07-23,23239.9109879559
"380",2007-07-24,23224.6241974602
"381",2007-07-25,23197.0469507122
"382",2007-07-26,23157.2550887681
"383",2007-07-27,23105.3244526841
"384",2007-07-30,22877.4583101548
"385",2007-07-31,22778.1104045734
"386",2007-08-01,22669.4177090165
"387",2007-08-02,22554.423962954
"388",2007-08-03,22436.3111857382
"389",2007-08-06,22090.2893421737
"390",2007-08-07,21984.8463716505
"391",2007-08-08,21887.2720292489
"392",2007-08-09,21799.0189091816
"393",2007-08-10,21721.5396056613
"394",2007-08-13,21568.27053651
"395",2007-08-14,21548.4124413051
"396",2007-08-15,21546.591133711
"397",2007-08-16,21564.2592079402
"398",2007-08-17,21602.520606462
"399",2007-08-20,21831.0368400855
"400",2007-08-21,21939.0994150829
"401",2007-08-22,22059.9948020513
"402",2007-08-23,22191.8555390364
"403",2007-08-24,22332.814164084
"404",2007-08-27,22791.6027480592
"405",2007-08-28,22950.2783058143
"406",2007-08-29,23108.7589134649
"407",2007-08-30,23265.6155276996
"408",2007-08-31,23420.3247830987
"409",2007-09-03,23868.3617556464
"410",2007-09-04,24011.2688626733
"411",2007-09-05,24150.4192181528
"412",2007-09-06,24285.4903363031
"413",2007-09-07,24416.1597313426
"414",2007-09-10,24778.5327199789
"415",2007-09-11,24888.3703647579
"416",2007-09-12,24992.1938575174
"417",2007-09-13,25089.6931387181
"418",2007-09-14,25180.6780784182
"419",2007-09-17,25420.2368573562
"420",2007-09-18,25492.6160603432
"421",2007-09-19,25563.1686052578
"422",2007-09-20,25633.0406142544
"423",2007-09-21,25703.3782094871
"424",2007-09-24,25928.6457341456
"425",2007-09-25,26012.3068958661
"426",2007-09-27,26198.6069916572
"427",2007-09-28,26302.3223990569
"428",2007-10-02,26783.3734292934
"429",2007-10-03,26918.7724471852
"430",2007-10-04,27059.6745835934
"431",2007-10-05,27205.8041457096
"432",2007-10-08,27672.8004582221
"433",2007-10-09,27837.0827950864
"434",2007-10-10,28005.2140936167
"435",2007-10-11,28176.8504126006
"436",2007-10-12,28351.3748172086
"437",2007-10-15,28885.424712442
"438",2007-10-16,29064.6945328077
"439",2007-10-17,29243.6959562099
"440",2007-10-18,29421.9225238897
"441",2007-10-22,30089.2261861031
"442",2007-10-23,30230.9878243185
"443",2007-10-24,30357.1360449102
"444",2007-10-25,30464.8769945341
"445",2007-10-26,30551.4168198457
"446",2007-10-29,30655.8910164653
"447",2007-10-30,30629.7911204853
"448",2007-10-31,30569.7740998117
"449",2007-11-01,30477.1296491924
"450",2007-11-02,30354.9674412476
"451",2007-11-05,29845.4374194859
"452",2007-11-06,29639.2673282648
"453",2007-11-07,29420.6110527309
"454",2007-11-08,29193.0479929788
"455",2007-11-09,28960.9812165182
"456",2007-11-12,28289.2984366054
"457",2007-11-13,28091.1681409763
"458",2007-11-14,27915.0789867417
"459",2007-11-15,27765.2528366843
"460",2007-11-16,27644.5628498499
"461",2007-11-19,27443.4536925692
"462",2007-11-20,27423.5163749398
"463",2007-11-21,27423.8513249041
"464",2007-11-22,27442.4921825792
"465",2007-11-23,27477.2703357591
"466",2007-11-26,27652.7320091128
"467",2007-11-27,27727.7688971375
"468",2007-11-28,27807.5914439345
"469",2007-11-29,27890.106145695
"470",2007-11-30,27973.2194986101
"471",2007-12-03,28205.2164261964
"472",2007-12-04,28269.789345643
"473",2007-12-05,28324.4933972005
"474",2007-12-06,28367.2350770603
"475",2007-12-07,28396.5882096049
"476",2007-12-10,28415.2659194183
"477",2007-12-11,28401.8116750939
"478",2007-12-12,28380.1640258076
"479",2007-12-13,28351.3109728609
"480",2007-12-14,28316.2405175553
"481",2007-12-17,28183.6047504998
"482",2007-12-18,28133.5446987734
"483",2007-12-19,28082.2072511957
"484",2007-12-20,28030.2800794123
"485",2007-12-21,27977.3059173681
"486",2007-12-24,27807.0062930961
"487",2007-12-27,27609.6514484182
"488",2007-12-28,27535.6343371694
"489",2007-12-31,27282.2268388898
"490",2008-01-02,27082.4014585463
"491",2008-01-03,26971.8785061997
"492",2008-01-04,26854.0900607229
"493",2008-01-07,26461.1476716874
"494",2008-01-08,26319.7195606265
"495",2008-01-09,26174.5106303223
"496",2008-01-10,26026.3865836432
"497",2008-01-11,25876.2131234581
"498",2008-01-14,25422.0532905526
"499",2008-01-15,25272.3392050296
"500",2008-01-16,25124.9042203438
"501",2008-01-17,24980.6140393638
"502",2008-01-18,24840.3343649582
"503",2008-01-21,24452.215409875
"504",2008-01-22,24336.6681515315
"505",2008-01-23,24229.5573870754
"506",2008-01-24,24131.4355183616
"507",2008-01-25,24042.7522537492
"508",2008-01-28,23837.8311681096
"509",2008-01-29,23791.3994034922
"510",2008-01-30,23756.6547847712
"511",2008-01-31,23734.0470203054
"512",2008-02-01,23723.7451860007
"513",2008-02-04,23754.3011242417
"514",2008-02-05,23779.651653668
"515",2008-02-06,23809.8920286378
"516",2008-02-11,23977.8935679225
"517",2008-02-12,24003.5442049232
"518",2008-02-13,24022.831710631
"519",2008-02-14,24034.4908631162
"520",2008-02-15,24037.7773126946
"521",2008-02-18,23999.2117406415
"522",2008-02-19,23971.2087562163
"523",2008-02-20,23936.1287981818
"524",2008-02-21,23894.2700204945
"525",2008-02-22,23845.9305771111
"526",2008-02-25,23665.0097923502
"527",2008-02-26,23593.7292257484
"528",2008-02-27,23517.5090755395
"529",2008-02-28,23436.8990572104
"530",2008-02-29,23352.4991985541
"531",2008-03-03,23083.1075325998
"532",2008-03-04,22990.3019055932
"533",2008-03-05,22897.2109489221
"534",2008-03-06,22804.5418609823
"535",2008-03-07,22712.9927835452
"536",2008-03-10,22453.7409143249
"537",2008-03-11,22375.6650629482
"538",2008-03-12,22303.3783184333
"539",2008-03-13,22237.8517133883
"540",2008-03-14,22180.0562804211
"541",2008-03-17,22062.767340067
"542",2008-03-18,22045.6069214916
"543",2008-03-19,22041.0328380343
"544",2008-03-20,22049.7169261245
"545",2008-03-25,22267.6528262575
"546",2008-03-26,22340.3740869785
"547",2008-03-27,22420.8837041838
"548",2008-03-28,22508.3575334102
"549",2008-03-31,22804.3228485844
"550",2008-04-01,22911.4120812638
"551",2008-04-02,23021.3448036487
"552",2008-04-03,23133.2968712759
"553",2008-04-07,23591.2715593181
"554",2008-04-08,23707.1026237528
"555",2008-04-09,23822.9815564502
"556",2008-04-10,23938.5647451096
"557",2008-04-11,24053.220928441
"558",2008-04-14,24384.5957110946
"559",2008-04-15,24488.5121377416
"560",2008-04-16,24588.0415588218
"561",2008-04-17,24682.7601380349
"562",2008-04-18,24772.3811378032
"563",2008-04-21,25011.3654607887
"564",2008-04-22,25081.4654056781
"565",2008-04-23,25146.9836338483
"566",2008-04-24,25208.0395640995
"567",2008-04-25,25264.7526152319
"568",2008-04-28,25410.0286819184
"569",2008-04-29,25450.5644045778
"570",2008-04-30,25487.2534047943
"571",2008-05-02,25548.0742592759
"572",2008-05-05,25607.2605426445
"573",2008-05-06,25618.3742402801
"574",2008-05-07,25625.1513517584
"575",2008-05-08,25627.574444431
"576",2008-05-09,25625.6260856499
"577",2008-05-13,25573.769483023
"578",2008-05-14,25549.7023772495
"579",2008-05-15,25521.1592241328
"580",2008-05-16,25488.1225910248
"581",2008-05-19,25361.8774852701
"582",2008-05-20,25310.6926057143
"583",2008-05-21,25254.9270829259
"584",2008-05-22,25194.5634842568
"585",2008-05-23,25129.5843770587
"586",2008-05-26,24908.3873076109
"587",2008-05-27,24826.9748880626
"588",2008-05-28,24742.2888010131
"589",2008-05-29,24654.6665519468
"590",2008-05-30,24564.4363946099
"591",2008-06-02,24281.3578810918
"592",2008-06-03,24183.9361770906
"593",2008-06-04,24085.4203386883
"594",2008-06-05,23986.0516634921
"595",2008-06-06,23886.2207034204
"596",2008-06-10,23492.8803662596
"597",2008-06-11,23398.7530116607
"598",2008-06-12,23307.3934905022
"599",2008-06-13,23219.3441735662
"600",2008-06-16,22975.0262975005
"601",2008-06-17,22898.2275944988
"602",2008-06-18,22822.9697799986
"603",2008-06-19,22748.9506274253
"604",2008-06-20,22675.8994318545
"605",2008-06-23,22459.1310798562
"606",2008-06-24,22386.0204669968
"607",2008-06-25,22312.6533325508
"608",2008-06-26,22239.6907133822
"609",2008-06-27,22167.7936463554
"610",2008-06-30,21965.1061267682
"611",2008-07-02,21847.4278835971
"612",2008-07-03,21795.8059035705
"613",2008-07-04,21750.1046082312
"614",2008-07-07,21662.2543802078
"615",2008-07-08,21652.5003663511
"616",2008-07-09,21653.9707671733
"617",2008-07-10,21667.5414128364
"618",2008-07-11,21693.7528401423
"619",2008-07-14,21835.6654735479
"620",2008-07-15,21898.0109547284
"621",2008-07-16,21964.9284041325
"622",2008-07-17,22035.2500905622
"623",2008-07-18,22108.1150627241
"624",2008-07-21,22333.7557238923
"625",2008-07-22,22406.2948179308
"626",2008-07-23,22474.8539006945
"627",2008-07-24,22537.8473033236
"628",2008-07-25,22593.6893569586
